field,group,model,n,n_bonafide,n_spoof,eer,far,frr,fp,fn
speaker,LA_0039,AASIST,1784,146,1638,5.364878652549885,0.056776556776556776,0.0410958904109589,93,6
speaker,LA_0010,AASIST-L,1784,146,1638,4.6866375633498905,0.04212454212454213,0.04794520547945205,69,7
speaker,LA_0033,AASIST,1784,146,1638,4.62558750229983,0.08608058608058608,0.0136986301369863,141,2
speaker,LA_0028,AASIST-L,1004,68,936,4.609728506787328,0.07799145299145299,0.014705882352941176,73,1
speaker,LA_0019,AASIST,1784,146,1638,4.503487380199708,0.05555555555555555,0.03424657534246575,91,5
speaker,LA_0018,AASIST-L,1004,68,936,4.396053293112114,0.05876068376068376,0.029411764705882353,55,2
speaker,LA_0003,AASIST-L,1004,68,936,4.342634489693311,0.07264957264957266,0.0,68,0
speaker,LA_0012,AASIST,1784,146,1638,4.252596718350146,0.027472527472527472,0.1095890410958904,45,16
speaker,LA_0041,AASIST,1784,146,1638,4.222071687825115,0.031135531135531136,0.0684931506849315,51,10
speaker,LA_0008,AASIST-L,1784,146,1638,4.191546657300084,0.07997557997557997,0.0273972602739726,131,4
speaker,LA_0020,AASIST-L,1784,146,1638,4.191546657300084,0.03235653235653236,0.07534246575342465,53,11
speaker,LA_0043,AASIST-L,1784,146,1638,4.099971565724993,0.06593406593406594,0.00684931506849315,108,1
speaker,LA_0047,AASIST-L,1784,146,1638,4.099971565724993,0.08302808302808302,0.0136986301369863,136,2
speaker,LA_0028,AASIST,1004,68,936,4.075540472599294,0.0405982905982906,0.014705882352941176,38,1
speaker,LA_0001,AASIST,1004,68,936,3.968702865761687,0.05876068376068376,0.029411764705882353,55,2
speaker,LA_0009,AASIST,1784,146,1638,3.9473464130998406,0.04395604395604396,0.03424657534246575,72,5
speaker,LA_0017,AASIST,1784,146,1638,3.9473464130998406,0.040293040293040296,0.02054794520547945,66,3
speaker,LA_0011,AASIST-L,1004,68,936,3.70160884866767,0.11004273504273504,0.0,103,0
speaker,LA_0026,AASIST,1784,146,1638,3.543830598625121,0.0347985347985348,0.0410958904109589,57,6
speaker,LA_0006,AASIST-L,1784,146,1638,3.51330556810009,0.05067155067155067,0.00684931506849315,83,1
speaker,LA_0008,AASIST,1784,146,1638,3.452255507050029,0.06654456654456654,0.0273972602739726,109,4
speaker,LA_0031,AASIST,1784,146,1638,3.4217304765249987,0.05982905982905983,0.00684931506849315,98,1
speaker,LA_0021,AASIST,1004,68,936,3.340246354952238,0.026709401709401708,0.029411764705882353,25,2
speaker,LA_0029,AASIST-L,1784,146,1638,3.299630354424876,0.06105006105006105,0.0,100,0
speaker,LA_0048,AASIST,1004,68,936,3.2868275515334346,0.04487179487179487,0.029411764705882353,42,2
speaker,LA_0023,AASIST,1004,68,936,3.1799899446958277,0.057692307692307696,0.014705882352941176,54,1
speaker,LA_0013,AASIST,1004,68,936,3.1265711412770236,0.03739316239316239,0.029411764705882353,35,2
speaker,LA_0046,AASIST-L,1004,68,936,3.1265711412770236,0.053418803418803416,0.014705882352941176,50,1
speaker,LA_0034,AASIST-L,1784,146,1638,3.0859551407496624,0.045787545787545784,0.0136986301369863,75,2
speaker,LA_0015,AASIST-L,1004,68,936,3.0731523378582204,0.05128205128205128,0.014705882352941176,48,1
speaker,LA_0025,AASIST-L,1004,68,936,3.0731523378582204,0.053418803418803416,0.0,50,0
speaker,LA_0027,AASIST,1784,146,1638,3.048739692575309,0.031135531135531136,0.0410958904109589,51,6
speaker,LA_0007,AASIST,1004,68,936,2.9128959276018103,0.050213675213675216,0.0,47,0
speaker,LA_0045,AASIST-L,1784,146,1638,2.865589509425126,0.08302808302808302,0.0,136,0
speaker,LA_0014,AASIST,1784,146,1638,2.8045394483750643,0.06288156288156288,0.00684931506849315,103,1
speaker,LA_0020,AASIST,1784,146,1638,2.8045394483750643,0.030525030525030524,0.0273972602739726,50,4
speaker,LA_0024,AASIST-L,1784,146,1638,2.8045394483750643,0.050061050061050064,0.02054794520547945,82,3
speaker,LA_0037,AASIST,1784,146,1638,2.774014417850034,0.014041514041514042,0.0821917808219178,23,12
speaker,LA_0005,AASIST,1004,68,936,2.7526395173454,0.03952991452991453,0.0,37,0
speaker,LA_0035,AASIST,1784,146,1638,2.712964356799973,0.05555555555555555,0.0,91,0
speaker,LA_0034,AASIST,1784,146,1638,2.651914295749912,0.06654456654456654,0.00684931506849315,109,1
speaker,LA_0044,AASIST,1004,68,936,2.6458019105077932,0.030982905982905984,0.014705882352941176,29,1
speaker,LA_0002,XLS-R+AASIST,1004,68,936,2.59238310708899,0.018162393162393164,0.04411764705882353,17,3
